edometry	edometr|y	edometr|y
makáčů	makáč|ů	makáč|ů
vaku	vak|u	vak|u
Annami	Anna|mi	Anna|mi
lyžařského	lyžařský|ého	lyžařský|ého
hvězdopravci	hvězdopravec|i	hvězdopravec|i
mágova	mágův|ova	mágův|ova
opolská	opolský|á	opolský|á
zaměřenému	zaměřený|ému	zaměřený|ému
peskuj	peskovat|uj	peskovat|uj
arzenopyritech	arzenopyrit|ech	arzenopyrit|ech
tulipánovém	tulipánový|ém	tulipánový|ém
baryovým	baryový|m	baryový|m
intercelulárních	intercelulární|ch	intercelulární|ch
babylónštině	babylónština|ě	babylónština|ě
